"","security_freedom_1","security_freedom_2","security_freedom_3","security_freedom_4","security_freedom_5","security_freedom_6","security_freedom_7","institution_trust_5","gr_1","nar1_t","nar2_t","nar3_t","nar4_t","nar5_t","nar6_t","nar7_t","nar8_t"
"213",7,6,6,6,6,6,7,5,1,3.5,4,4,4.5,3.5,5,4,4
"214",5,6,3,5,4,4,5,5,0,4.5,5,4.5,4,4.5,4,5.5,5
"215",6,6,5,5,6,5,6,6,1,5,5,5.5,5,5.5,6,5.5,5.5
"216",7,6,6,6,5,7,7,3,0,6.5,7,4.5,7,1,6,7,7
"217",2,6,6,7,7,6,4,1,0,4,5,6,5,4.5,5,4.5,4
"218",7,6,7,7,7,7,7,1,1,6.5,7,5.5,4,5,7,4,5.5
"219",5,5,4,5,4,5,5,6,0,3.5,2,1,4.5,4.5,5,3,4.5
"220",7,7,7,7,7,7,7,3,0,4,2,3,7,3,4,4,2
"221",4,5,5,6,6,7,7,7,0,7,1,1,1,7,7,7,7
"222",7,7,7,7,7,7,7,3,1,6.5,5.5,5.5,7,3.5,4,6,4
"223",4,4,4,4,4,4,3,4,0,5,4,4,3.5,4,4,4,3.5
"224",7,7,7,7,7,7,7,3,0,5,6,6.5,7,4,3.5,5,3.5
"225",7,7,7,7,4,7,7,6,1,5,6,5.5,7,3.5,6.5,7,7
"226",7,7,6,7,7,7,7,1,0,7,6.5,6,5.5,5.5,5,7,4.5
"227",5,5,5,4,6,2,6,6,1,3,1.5,1.5,2,3.5,5.5,6.5,1.5
"228",1,7,1,5,4,1,1,4,0,7,6,7,7,7,7,7,7
"229",4,5,3,5,4,4,4,7,1,6,4.5,6,4,5,7,6.5,6
"230",6,5,4,5,4,4,5,3,1,3.5,4,5,6.5,4.5,6.5,5,6
"231",7,7,7,7,7,7,7,1,1,5,3.5,3.5,7,4,5,4,3.5
"232",5,6,4,5,6,6,6,2,0,4,4,4.5,3.5,2.5,2.5,3.5,4
"233",4,3,3,4,5,5,4,1,0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
"234",5,5,6,7,7,7,6,3,0,5,5,5,3.5,4,4,4,3
"235",4,4,4,5,5,6,6,3,0,4,6,4.5,5,3,5,4.5,5.5
"236",7,7,7,1,1,1,1,4,0,7,7,7,7,7,7,7,7
"237",7,7,7,7,7,7,7,1,1,6,5,4,6.5,5.5,5.5,6,6
"238",6,6,6,6,6,6,6,3,1,6,4,1,3.5,3,2.5,7,6
"239",1,1,1,1,1,7,7,4,0,5.5,4,4,3.5,1.5,3,2,6
"240",4,4,4,6,6,6,6,4,1,3.5,3.5,1,3,7,7,7,7
"241",3,3,5,4,3,6,6,2,0,4.5,2.5,5.5,4.5,5.5,6,4.5,4.5
"242",3,3,2,2,2,3,3,4,0,3.5,1.5,2.5,4,5.5,6,3.5,3.5
"243",4,3,4,5,5,5,5,3,0,4,5.5,2,4,4,1.5,4,4
"244",2,3,3,3,3,3,3,5,0,5.5,3.5,3,6,6,4.5,4.5,5
"245",7,7,7,6,6,7,7,1,1,5,6,4.5,5,3,4,4,6
"246",4,4,4,5,4,3,4,6,0,5.5,4,3,6,6,7,7,6.5
"247",5,5,5,5,6,6,6,2,1,3,3.5,4,5.5,2.5,4,5,5
"248",7,7,7,7,7,7,7,4,0,3,5,4,5,4,4.5,1,4
"249",4,3,1,1,1,1,1,1,0,7,6,6.5,7,4.5,7,7,7
"250",2,3,4,7,6,7,7,3,0,4,4,6.5,3.5,6.5,4,3,5
"251",7,7,7,7,7,7,7,3,1,2,5,6,2,2.5,2,6,2.5
"252",7,7,6,7,7,6,7,6,0,6.5,4.5,4,6.5,6.5,6.5,6.5,6.5
"253",3,5,3,4,4,4,4,5,1,2,2,1.5,3,4.5,2.5,4.5,3.5
"254",7,7,7,7,7,7,7,3,0,7,6,7,2,2.5,7,7,6
"255",7,7,6,6,5,5,6,4,1,4.5,5.5,7,6,4.5,7,7,5.5
"256",4,4,2,3,7,6,7,5,0,4.5,3,4,4.5,5,7,7,7
"257",4,4,4,4,4,4,3,4,1,4,4,3.5,4,4,4,4,4
"258",4,6,5,7,6,3,4,5,0,5,4.5,1,4.5,3.5,4,6,5.5
"259",7,7,7,7,7,7,7,4,1,4,4,4.5,4,4.5,4.5,5,4
"260",1,1,1,1,1,1,1,5,0,4.5,1,4,1,6.5,7,6,7
"261",7,7,7,7,7,7,7,1,1,5,5,5.5,4,3,3,4.5,5
"264",4,4,4,4,4,5,2,3,1,2.5,1,2.5,1,2,1,2.5,2.5
"265",5,6,5,5,6,6,7,7,0,5,3,2,5,5,4,4,5
"266",7,7,6,6,7,7,7,4,1,6,7,6.5,3.5,5.5,5.5,1.5,4
"267",7,7,7,7,7,7,7,3,1,7,7,7,7,1,1,6.5,5.5
"268",5,5,4,5,5,5,4,2,0,5,3.5,1,1,2,3.5,1,4
"269",4,4,4,4,4,4,4,3,0,3,3,1,4,4,2.5,5,2
"270",4,4,5,4,5,5,5,3,1,2.5,2.5,2.5,2.5,2.5,4.5,4,2.5
"271",7,6,7,6,7,7,6,5,1,4.5,4,4.5,2.5,4,5,5,4
"272",1,1,1,1,1,1,1,3,1,5.5,6,4.5,6,6.5,4.5,6,4.5
"273",4,4,4,4,4,4,4,6,1,4,4,3,5,5,5,5,5
"274",6,5,6,4,6,7,6,4,0,3.5,4.5,4,4.5,3,4,5,4
"275",4,5,4,4,4,7,5,1,1,4,5.5,3,7,4,4,4,3
"276",7,7,6,7,7,7,7,4,0,4,3.5,2.5,5,4.5,5.5,5,5
"277",6,7,6,7,7,7,7,3,0,4.5,7,4,5,1.5,3,3,3.5
"278",4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,5.5
"279",7,7,7,7,7,7,7,1,1,7,7,7,4,4,4,4,4
"280",2,2,1,2,2,2,5,5,1,4,1,1,2.5,6.5,5.5,6,6
"281",4,4,4,3,3,3,3,5,0,5.5,6.5,5.5,4.5,4.5,3.5,4.5,3
"282",4,4,4,4,4,4,4,3,1,4,4.5,3,4,4,4,3.5,4
"283",3,4,2,2,2,2,2,6,1,6.5,3.5,3.5,4,6,6,6,4.5
"284",7,7,7,7,7,7,7,3,1,6.5,7,6.5,7,5.5,7,6,5.5
"285",7,7,5,7,7,7,7,5,1,2,2,4.5,1.5,5.5,7,6.5,7
"286",7,7,7,7,7,7,7,3,1,5.5,1,3.5,2,4,5.5,5.5,6
"287",4,4,5,5,4,4,4,5,0,5,5,5,5,4.5,5,5,5.5
"288",7,7,7,7,7,7,7,2,0,5.5,6.5,6.5,5.5,1,2.5,4,3
"289",6,5,6,5,6,5,7,5,0,6,7,5.5,7,3.5,6.5,5,5.5
"290",4,4,4,4,4,4,4,6,0,4,4,3.5,4,4,4,4,4
"291",3,3,5,3,6,6,6,5,0,6,4,3.5,4.5,3.5,5.5,4,5
"292",6,6,5,7,7,7,7,1,1,1.5,6,6.5,6,2,2.5,3,4
"293",1,6,7,6,7,7,7,1,0,3.5,3.5,3,3,3,4.5,3.5,3.5
"294",5,6,5,6,7,6,7,5,1,3.5,3.5,4.5,5,5.5,5.5,5,6
"295",4,4,4,6,5,5,5,4,1,4,1.5,4.5,3.5,3.5,5,3.5,4
"296",6,7,3,6,5,2,2,4,0,1.5,1,2,2.5,6,6.5,5.5,4.5
"297",7,6,6,6,7,7,7,5,1,5.5,3.5,4.5,6,5,5.5,5,6
"298",5,5,5,5,5,5,5,4,1,3.5,3,2,3.5,3,4,5,4.5
"299",4,4,3,5,6,5,5,2,0,5,4,3,4,2.5,5,2.5,5
"300",7,7,6,7,7,7,7,4,0,3,1,1,6,2.5,4,1,3
"301",7,7,7,7,4,7,7,4,0,3.5,4.5,6,4.5,4.5,5.5,5.5,4.5
"302",6,4,4,4,5,7,6,1,0,6.5,6,5.5,6.5,4,7,6.5,5
"303",5,7,5,7,7,7,7,5,1,4,6,5,5.5,2.5,5,4.5,5.5
"304",4,4,5,4,5,4,4,3,1,5,5.5,5.5,5,5,5,5,6
"305",6,6,5,5,5,6,6,2,1,4,6,5,7,2.5,4,2.5,3
"306",5,5,5,6,7,7,7,1,1,6,6,4,5,1.5,4,3,5.5
"307",7,7,7,7,7,7,7,1,0,2,7,7,4,1,1,3,2
"308",4,4,4,5,5,5,5,4,0,3.5,4,4.5,4.5,3,4,3.5,4
"309",2,3,3,3,3,3,3,1,0,6.5,7,7,2.5,1,4,1,6
"310",7,7,7,6,4,7,7,4,0,4.5,7,7,5.5,1,4,5,4
"311",7,5,5,5,5,5,5,3,0,1,1,6,4,5.5,5.5,4.5,3
"312",4,4,4,4,6,6,6,6,1,4,6.5,4,4,7,7,7,5.5
"313",4,4,4,4,4,4,4,3,0,4,3.5,3.5,4.5,3.5,4,5,5.5
"314",5,4,3,4,4,4,3,7,0,5.5,1,3.5,5,6,5.5,5,4.5
"315",4,4,4,4,4,4,4,6,1,4,4,4,4,7,7,7,4
"316",6,6,5,6,7,7,7,4,0,5,6,5,5,5,5.5,5.5,6.5
"317",4,4,2,4,4,3,3,3,1,3,2,2.5,2,3,4.5,3.5,3.5
